Date,Open,High,Low,Close,Adj Close,Volume
2018-12-20,24.820000,25.360001,24.680000,25.090000,22.388256,2381178
2018-12-21,24.900000,25.059999,24.360001,24.500000,21.861790,8137361
2018-12-24,24.320000,24.559999,24.000000,24.450001,21.817177,858161
2018-12-26,24.059999,24.320000,23.799999,24.190001,22.248707,1979787
2018-12-27,23.830000,24.350000,23.280001,23.750000,21.844021,1528743
2018-12-28,23.860001,24.170000,23.860001,24.110001,22.175129,933301
2018-12-31,24.100000,24.549999,24.000000,24.400000,22.441856,3217338
2019-01-02,24.299999,24.719999,24.030001,24.610001,22.635002,986814
2019-01-03,24.559999,24.740000,24.010000,24.420000,22.460251,1498528
2019-01-04,24.680000,25.170000,24.680000,25.110001,23.094877,2413643
2019-01-07,25.200001,25.230000,24.740000,25.030001,23.021297,2492792
2019-01-08,25.309999,25.309999,24.930000,25.280001,23.251236,2459965
2019-01-09,25.320000,25.740000,24.420000,25.020000,23.012102,4795190
2019-01-10,25.030001,25.309999,24.240000,24.639999,22.662596,2983799
2019-01-11,24.770000,25.010000,24.360001,24.840000,22.846546,4821364
2019-01-14,24.590000,25.150000,24.500000,24.910000,22.910929,2167853
2019-01-15,24.879999,25.150000,24.860001,25.120001,23.104076,5707768
2019-01-16,24.959999,26.000000,24.959999,25.700001,23.637529,8998732
2019-01-17,25.650000,26.379999,25.580000,26.299999,24.189377,5944940
2019-01-18,26.570000,27.000000,26.320000,26.809999,24.658449,3719119
2019-01-21,27.059999,27.459999,25.830000,26.180000,24.079006,1766294
2019-01-22,26.340000,26.629999,26.160000,26.400000,24.281351,7612516
2019-01-23,26.629999,27.090000,26.350000,27.000000,24.833202,5980596
2019-01-24,27.230000,27.540001,27.020000,27.469999,25.265480,5243565
2019-01-25,27.799999,28.100000,27.400000,27.950001,25.706963,5459556
2019-01-28,28.100000,28.240000,27.639999,28.139999,25.881714,8249116
2019-01-29,28.200001,28.389999,27.799999,28.120001,25.863321,11477162
2019-01-30,28.250000,28.900000,28.180000,28.719999,26.415167,8529694
2019-01-31,28.700001,28.790001,27.860001,28.629999,26.332392,11860089
2019-02-01,28.750000,29.070000,27.920000,27.980000,25.734554,10792645
