Date,Open,High,Low,Close,Adj Close,Volume
20/12/18,1050,1051.790039,1030.199951,1038.959961,1035.215454,12985
21/12/18,1038.959961,1048.98999,994.25,1001.099976,997.491821,11699
24/12/18,990.01001,1004,940,987.440002,983.880981,17652
26/12/18,987,1028.98999,967,1011.710022,1008.06366,15307
27/12/18,1010,1019,981,1012.559998,1008.910461,4301
28/12/18,1020,1029,1015,1029,1025.291138,1342
31/12/18,1020,1020,1006.01001,1015,1011.341736,10904
02/01/19,999,1055,999,1045.689941,1041.920898,18881
03/01/19,1031,1045.689941,1029,1033.26001,1029.535889,23540
04/01/19,1059,1073.98999,1055,1072.449951,1068.584595,3795
07/01/19,1079,1088.98999,1072,1076.630005,1072.749512,1871
08/01/19,1073.5,1079,1060.01001,1074.97998,1071.105225,22325
09/01/19,1075,1090,1071,1081.130005,1077.233398,24683
10/01/19,1081,1089,1076.810059,1085,1081.089355,6583
11/01/19,1085,1098.98999,1082.329956,1089.75,1085.822266,7525
14/01/19,1082.329956,1125,1080.01001,1125,1120.94519,18454
15/01/19,1138.72998,1174.189941,1138.72998,1162.219971,1158.031006,70637
16/01/19,1169,1189.109985,1169,1177.650024,1173.405396,14131
17/01/19,1177.650024,1188.97998,1170,1180.910034,1176.653809,7091
18/01/19,1189,1208.48999,1177.01001,1203.73999,1199.401489,11659
21/01/19,1194.810059,1194.810059,1190.01001,1192.410034,1188.112061,10
22/01/19,1180.01001,1194,1178,1181,1176.743408,18133
23/01/19,1194,1197,1156.25,1188.680054,1184.39563,4584
24/01/19,1182,1206.920044,1156.150024,1199.77002,1195.445679,7238
25/01/19,1199.699951,1225.98999,1177.02002,1218.47998,1214.088379,5086
28/01/19,1214,1219.98999,1201.02002,1218.540039,1214.148193,5846
29/01/19,1185.849976,1215,1185.849976,1204.180054,1199.8396,2761
30/01/19,1208.660034,1235.98999,1205.02002,1226,1221.581177,11983
31/01/19,1234.98999,1248.98999,1215,1223.329956,1218.920898,13804
01/02/19,1235,1235,1215,1218.089966,1214.14624,8911
05/02/19,1221,1229,1200,1212.810059,1208.883301,11730
06/02/19,1213,1230,1204.199951,1219,1215.053467,13488
07/02/19,1200,1208,1180,1191,1187.143921,6282
08/02/19,1182,1189,1170.199951,1180,1176.179565,2103
11/02/19,1191.400024,1200,1189,1189.660034,1185.808228,6959
12/02/19,1199.98999,1220,1198,1210.150024,1206.231934,705
13/02/19,1224,1250,1191.400024,1225.23999,1221.273193,2297
14/02/19,1200.72998,1215,1165.01001,1197.849976,1193.971802,3979
15/02/19,1221,1248,1221,1244,1239.97229,4117
18/02/19,1238,1238,1210.199951,1221.199951,1217.246094,94
19/02/19,1222,1239.880005,1222,1238.310059,1234.300903,4323
20/02/19,1238.310059,1240.550049,1220.5,1239.689941,1235.67627,6615
21/02/19,1243,1249.47998,1233.73999,1236.880005,1232.875488,60875
22/02/19,1233.52002,1233.52002,1222,1231.98999,1228.001099,50341
25/02/19,1244,1252,1224.400024,1244,1239.97229,9725
26/02/19,1224.01001,1236,1224.01001,1230,1226.017822,6962
27/02/19,1225,1240,1224,1230.400024,1226.416504,4091
28/02/19,1236,1240.040039,1219.01001,1235.420044,1231.420166,4144
01/03/19,1253.97998,1270,1211,1255.449951,1251.385376,6936
04/03/19,1224,1255,1220,1235,1231.001465,20613
05/03/19,1200,1218.800049,1190,1214.23999,1210.308716,4668
06/03/19,1208,1228.880005,1208,1216.98999,1213.049683,4527
07/03/19,1205,1216.790039,1199,1212.800049,1208.873657,5027
08/03/19,1189.150024,1215,1185,1212.540039,1208.614258,3256
11/03/19,1212.530029,1226,1212.300049,1212.300049,1208.375122,2045
12/03/19,1205,1211.699951,1197.099976,1211.699951,1207.7771,734
13/03/19,1230,1238,1223.030029,1232,1228.011108,2639
14/03/19,1239,1239.219971,1214.27002,1233,1229.00769,575
15/03/19,1242,1252,1242,1250.430054,1246.381592,1484
19/03/19,1252.199951,1265,1242,1242,1237.97876,949
20/03/19,1232,1233,1208.849976,1208.949951,1205.036011,3137
21/03/19,1205.150024,1218.959961,1196.550049,1206.560059,1202.653687,125246
22/03/19,1191.22998,1191.22998,1160,1166.02002,1162.244873,56971
25/03/19,1166,1166,1150,1150,1146.276611,303
26/03/19,1161,1169.959961,1158.77002,1160.01001,1156.254395,3953
27/03/19,1179,1189,1171.050049,1173.829956,1170.029663,3107
28/03/19,1189,1199.5,1181,1199.48999,1195.606445,7723
29/03/19,1205.01001,1210,1194.099976,1210,1206.08252,2292
01/04/19,1208,1239.98999,1208,1211.030029,1207.109253,51963
02/04/19,1243,1249,1221.25,1240,1235.985229,21710
03/04/19,1203.099976,1251,1203.099976,1250.599976,1246.551147,1023
04/04/19,1262,1264.98999,1250.199951,1260.790039,1256.70813,4610
05/04/19,1247,1254.75,1246,1249.189941,1245.145508,22479
08/04/19,1239,1251,1239,1246.800049,1242.763306,285
