Date,Open,High,Low,Close,Adj Close,Volume
2018-12-20,9.000000,9.000000,9.000000,9.000000,9.000000,47989
2018-12-21,8.800000,8.990000,8.600000,8.630000,8.630000,12853
2018-12-24,8.800000,9.100000,8.800000,9.100000,9.100000,4757
2018-12-26,8.870000,8.870000,8.870000,8.870000,8.870000,387
2018-12-27,9.000000,9.000000,8.620000,8.710000,8.710000,32370
2018-12-28,9.100000,9.160000,8.600000,9.150000,9.150000,20526
2018-12-31,8.880000,9.300000,8.880000,9.300000,9.300000,36704
2019-01-02,9.050000,9.100000,8.800000,9.040000,9.040000,52991
2019-01-03,9.100000,9.100000,9.090000,9.090000,9.090000,1534
2019-01-04,9.120000,9.300000,8.910000,8.910000,8.910000,12592
2019-01-07,8.910000,8.920000,8.600000,8.700000,8.700000,8327
2019-01-08,8.940000,8.980000,8.460000,8.470000,8.470000,83148
2019-01-09,8.380000,8.540000,8.200000,8.350000,8.350000,70154
2019-01-10,8.400000,8.590000,8.330000,8.350000,8.350000,19295
2019-01-11,8.300000,8.340000,8.220000,8.220000,8.220000,2673
2019-01-14,8.470000,8.470000,8.350000,8.350000,8.350000,2359
2019-01-15,8.230000,8.350000,8.180000,8.350000,8.350000,11191
2019-01-16,8.160000,8.160000,8.100000,8.130000,8.130000,37037
2019-01-17,8.290000,8.290000,7.900000,8.050000,8.050000,98639
2019-01-18,8.070000,8.300000,8.070000,8.270000,8.270000,20377
2019-01-21,8.130000,8.270000,8.100000,8.270000,8.270000,13341
2019-01-22,8.270000,8.270000,8.010000,8.110000,8.110000,48169
2019-01-23,8.110000,8.110000,8.100000,8.100000,8.100000,1210
2019-01-24,8.000000,8.000000,8.000000,8.000000,8.000000,1830
2019-01-25,8.000000,8.050000,7.700000,8.000000,8.000000,36020
2019-01-28,8.000000,8.200000,8.000000,8.200000,8.200000,21480
2019-01-29,8.010000,8.200000,7.880000,8.100000,8.100000,129007
2019-01-30,8.090000,8.350000,8.090000,8.300000,8.300000,29210
2019-01-31,8.300000,8.700000,8.150000,8.640000,8.640000,130972
2019-02-01,8.540000,8.620000,8.360000,8.570000,8.570000,26227
2019-02-05,8.330000,8.540000,8.330000,8.400000,8.400000,2070
2019-02-06,8.560000,8.560000,8.240000,8.280000,8.280000,10115
2019-02-07,8.290000,8.420000,8.100000,8.210000,8.210000,79524
2019-02-08,8.500000,8.500000,8.010000,8.160000,8.160000,15328
2019-02-11,8.220000,8.300000,7.960000,7.970000,7.970000,18208
2019-02-12,8.000000,8.020000,7.900000,7.910000,7.910000,30373
2019-02-13,7.990000,8.000000,7.900000,7.900000,7.900000,13996
2019-02-14,7.900000,7.900000,7.800000,7.820000,7.820000,94009
2019-02-15,7.770000,8.050000,7.770000,7.870000,7.870000,64643
2019-02-18,8.080000,8.090000,8.040000,8.040000,8.040000,701
2019-02-19,7.920000,8.050000,7.840000,7.990000,7.990000,15445
2019-02-20,8.100000,8.100000,8.100000,8.100000,8.100000,151
2019-02-21,8.210000,8.210000,7.870000,7.980000,7.980000,92826
2019-02-22,8.000000,8.000000,7.800000,7.830000,7.830000,124244
2019-02-25,7.830000,7.980000,7.830000,7.850000,7.850000,25868
2019-02-26,7.860000,8.140000,7.860000,8.000000,8.000000,120760
2019-02-27,8.010000,8.010000,7.770000,7.800000,7.800000,79926
2019-02-28,7.800000,7.800000,7.700000,7.700000,7.700000,51472
2019-03-01,7.710000,7.710000,7.590000,7.590000,7.590000,3859
2019-03-04,7.600000,7.600000,7.280000,7.290000,7.290000,21414
2019-03-05,7.300000,7.380000,7.000000,7.000000,7.000000,59178
2019-03-06,7.000000,7.050000,6.900000,7.020000,7.020000,129515
2019-03-07,6.850000,7.000000,6.670000,6.860000,6.860000,47021
2019-03-08,6.880000,6.880000,6.700000,6.830000,6.830000,22292
2019-03-11,6.920000,6.920000,6.650000,6.650000,6.650000,8117
2019-03-12,6.650000,6.650000,6.490000,6.550000,6.550000,69375
2019-03-13,6.630000,6.690000,6.540000,6.550000,6.550000,19903
2019-03-14,6.500000,6.500000,6.380000,6.380000,6.380000,15488
2019-03-15,6.400000,6.620000,6.400000,6.580000,6.580000,8977
2019-03-19,6.600000,6.610000,6.600000,6.600000,6.600000,795
2019-03-20,6.700000,6.700000,6.500000,6.570000,6.570000,5976
2019-03-21,6.660000,6.660000,6.590000,6.590000,6.590000,14794
2019-03-22,6.500000,6.590000,6.400000,6.550000,6.550000,134041
2019-03-25,6.400000,6.530000,6.350000,6.390000,6.390000,158293
2019-03-26,6.430000,6.440000,6.420000,6.420000,6.420000,12435
2019-03-27,6.400000,6.690000,6.100000,6.670000,6.670000,65205
2019-03-28,6.750000,6.750000,6.750000,6.750000,6.750000,100
2019-03-29,7.000000,7.000000,6.650000,6.810000,6.810000,321250
2019-04-01,6.700000,6.780000,6.550000,6.650000,6.650000,12379
2019-04-02,6.600000,6.600000,6.600000,6.600000,6.600000,3388
2019-04-03,6.600000,6.600000,6.360000,6.400000,6.400000,108331
2019-04-04,6.400000,6.400000,6.000000,6.360000,6.360000,97026
2019-04-05,6.370000,6.370000,6.060000,6.310000,6.310000,196384
2019-04-08,6.390000,6.390000,6.300000,6.300000,6.300000,51673
2019-04-09,6.300000,6.300000,6.000000,6.150000,6.150000,65303
2019-04-10,6.160000,6.160000,6.010000,6.120000,6.120000,25583
2019-04-11,6.140000,6.150000,5.990000,6.000000,6.000000,43570
2019-04-12,6.150000,6.180000,5.870000,6.110000,6.110000,90506
2019-04-15,6.290000,6.400000,6.020000,6.220000,6.220000,40136
2019-04-16,6.160000,6.360000,6.150000,6.310000,6.310000,6603
2019-04-17,6.230000,6.230000,5.970000,6.120000,6.120000,104368
2019-04-22,6.150000,6.190000,6.020000,6.170000,6.170000,59178
2019-04-23,6.170000,6.170000,6.170000,6.170000,6.170000,0
2019-04-24,6.090000,6.100000,5.880000,5.970000,5.970000,48447
2019-04-25,5.970000,6.000000,5.850000,5.920000,5.920000,359518
2019-04-26,5.950000,6.200000,5.930000,6.100000,6.100000,31125
2019-04-29,6.150000,6.320000,6.010000,6.290000,6.290000,166923
2019-04-30,6.190000,6.500000,6.000000,6.500000,6.500000,113955
2019-05-02,6.730000,6.730000,6.100000,6.340000,6.340000,92161
2019-05-03,6.150000,6.240000,6.150000,6.240000,6.240000,14002
2019-05-06,6.120000,6.130000,6.120000,6.130000,6.130000,3243
2019-05-07,6.100000,6.150000,5.830000,5.930000,5.930000,194878
2019-05-08,6.030000,6.040000,5.950000,5.960000,5.960000,117728
2019-05-09,5.960000,6.100000,5.910000,5.930000,5.930000,430884
2019-05-10,5.810000,6.050000,5.810000,5.910000,5.910000,62852
2019-05-13,5.900000,5.950000,5.780000,5.850000,5.850000,71142
2019-05-14,5.910000,5.910000,5.900000,5.900000,5.900000,79232
2019-05-15,5.900000,5.950000,5.700000,5.850000,5.850000,63571
2019-05-16,5.900000,6.100000,5.850000,6.100000,6.100000,36956
2019-05-17,6.060000,6.100000,5.850000,5.990000,5.990000,64284
2019-05-20,5.850000,6.040000,5.850000,6.010000,6.010000,36533
2019-05-21,5.960000,6.010000,5.850000,5.920000,5.920000,85066
2019-05-22,6.010000,6.010000,5.950000,5.950000,5.950000,2882
2019-05-23,5.980000,5.990000,5.950000,5.950000,5.950000,5500
2019-05-24,5.810000,5.810000,5.800000,5.810000,5.810000,65451
2019-05-27,5.710000,5.800000,5.650000,5.700000,5.700000,124149
2019-05-28,5.770000,5.770000,5.610000,5.650000,5.650000,218751
2019-05-29,5.640000,5.710000,5.640000,5.700000,5.700000,46754
2019-05-30,5.750000,5.800000,5.620000,5.800000,5.800000,54394
2019-05-31,5.710000,5.740000,5.660000,5.700000,5.700000,276433
2019-06-03,5.630000,5.640000,5.620000,5.630000,5.630000,50348
2019-06-04,5.640000,5.780000,5.640000,5.650000,5.650000,3111
2019-06-05,5.640000,5.700000,5.540000,5.600000,5.600000,66739
2019-06-06,5.620000,5.620000,5.250000,5.400000,5.400000,95530
2019-06-07,5.460000,5.820000,5.410000,5.500000,5.500000,23351
