Date,Open,High,Low,Close,Adj Close,Volume,Nombre
20/12/18,9,9,9,9,9,47989,Grupo_Famsa
21/12/18,8.8,8.99,8.6,8.63,8.63,12853,Grupo_Famsa
24/12/18,8.8,9.1,8.8,9.1,9.1,4757,Grupo_Famsa
26/12/18,8.87,8.87,8.87,8.87,8.87,387,Grupo_Famsa
27/12/18,9,9,8.62,8.71,8.71,32370,Grupo_Famsa
28/12/18,9.1,9.16,8.6,9.15,9.15,20526,Grupo_Famsa
31/12/18,8.88,9.3,8.88,9.3,9.3,36704,Grupo_Famsa
02/01/19,9.05,9.1,8.8,9.04,9.04,52991,Grupo_Famsa
03/01/19,9.1,9.1,9.09,9.09,9.09,1534,Grupo_Famsa
04/01/19,9.12,9.3,8.91,8.91,8.91,12592,Grupo_Famsa
07/01/19,8.91,8.92,8.6,8.7,8.7,8327,Grupo_Famsa
08/01/19,8.94,8.98,8.46,8.47,8.47,83148,Grupo_Famsa
09/01/19,8.38,8.54,8.2,8.35,8.35,70154,Grupo_Famsa
10/01/19,8.4,8.59,8.33,8.35,8.35,19295,Grupo_Famsa
11/01/19,8.3,8.34,8.22,8.22,8.22,2673,Grupo_Famsa
14/01/19,8.47,8.47,8.35,8.35,8.35,2359,Grupo_Famsa
15/01/19,8.23,8.35,8.18,8.35,8.35,11191,Grupo_Famsa
16/01/19,8.16,8.16,8.1,8.13,8.13,37037,Grupo_Famsa
17/01/19,8.29,8.29,7.9,8.05,8.05,98639,Grupo_Famsa
18/01/19,8.07,8.3,8.07,8.27,8.27,20377,Grupo_Famsa
21/01/19,8.13,8.27,8.1,8.27,8.27,13341,Grupo_Famsa
22/01/19,8.27,8.27,8.01,8.11,8.11,48169,Grupo_Famsa
23/01/19,8.11,8.11,8.1,8.1,8.1,1210,Grupo_Famsa
24/01/19,8,8,8,8,8,1830,Grupo_Famsa
25/01/19,8,8.05,7.7,8,8,36020,Grupo_Famsa
28/01/19,8,8.2,8,8.2,8.2,21480,Grupo_Famsa
29/01/19,8.01,8.2,7.88,8.1,8.1,129007,Grupo_Famsa
30/01/19,8.09,8.35,8.09,8.3,8.3,29210,Grupo_Famsa
31/01/19,8.3,8.7,8.15,8.64,8.64,130972,Grupo_Famsa
01/02/19,8.54,8.62,8.36,8.57,8.57,26227,Grupo_Famsa
05/02/19,8.33,8.54,8.33,8.4,8.4,2070,Grupo_Famsa
06/02/19,8.56,8.56,8.24,8.28,8.28,10115,Grupo_Famsa
07/02/19,8.29,8.42,8.1,8.21,8.21,79524,Grupo_Famsa
08/02/19,8.5,8.5,8.01,8.16,8.16,15328,Grupo_Famsa
11/02/19,8.22,8.3,7.96,7.97,7.97,18208,Grupo_Famsa
12/02/19,8,8.02,7.9,7.91,7.91,30373,Grupo_Famsa
13/02/19,7.99,8,7.9,7.9,7.9,13996,Grupo_Famsa
14/02/19,7.9,7.9,7.8,7.82,7.82,94009,Grupo_Famsa
15/02/19,7.77,8.05,7.77,7.87,7.87,64643,Grupo_Famsa
18/02/19,8.08,8.09,8.04,8.04,8.04,701,Grupo_Famsa
19/02/19,7.92,8.05,7.84,7.99,7.99,15445,Grupo_Famsa
20/02/19,8.1,8.1,8.1,8.1,8.1,151,Grupo_Famsa
21/02/19,8.21,8.21,7.87,7.98,7.98,92826,Grupo_Famsa
22/02/19,8,8,7.8,7.83,7.83,124244,Grupo_Famsa
25/02/19,7.83,7.98,7.83,7.85,7.85,25868,Grupo_Famsa
26/02/19,7.86,8.14,7.86,8,8,120760,Grupo_Famsa
27/02/19,8.01,8.01,7.77,7.8,7.8,79926,Grupo_Famsa
28/02/19,7.8,7.8,7.7,7.7,7.7,51472,Grupo_Famsa
01/03/19,7.71,7.71,7.59,7.59,7.59,3859,Grupo_Famsa
04/03/19,7.6,7.6,7.28,7.29,7.29,21414,Grupo_Famsa
05/03/19,7.3,7.38,7,7,7,59178,Grupo_Famsa
06/03/19,7,7.05,6.9,7.02,7.02,129515,Grupo_Famsa
07/03/19,6.85,7,6.67,6.86,6.86,47021,Grupo_Famsa
08/03/19,6.88,6.88,6.7,6.83,6.83,22292,Grupo_Famsa
11/03/19,6.92,6.92,6.65,6.65,6.65,8117,Grupo_Famsa
12/03/19,6.65,6.65,6.49,6.55,6.55,69375,Grupo_Famsa
13/03/19,6.63,6.69,6.54,6.55,6.55,19903,Grupo_Famsa
14/03/19,6.5,6.5,6.38,6.38,6.38,15488,Grupo_Famsa
15/03/19,6.4,6.62,6.4,6.58,6.58,8977,Grupo_Famsa
